,Seconds,CPU,Packet In,MB/s
0,5.0,16.11,8.93,7.1
1,10.0,46.8,24.92,6.31
2,15.0,20.71,36.54,22.02
3,20.0,10.04,17.06,4.52
4,25.0,20.67,20.89,8.41
5,30.0,20.25,14.96,7.9
6,35.0,19.38,16.95,5.63
7,40.0,32.99,62.94,13.7
8,45.0,31.73,60.31,7.56
9,50.0,30.13,112.86,11.42
10,55.0,29.17,67.4,11.59
11,60.0,35.89,48.38,7.33
12,65.0,53.8,265.31,43.72
13,70.0,52.7,217.6,20.95
14,75.0,52.8,182.65,22.27
15,80.0,51.45,195.54,18.96
16,85.0,54.02,144.62,18.63
17,90.0,60.45,79.17,28.76
18,95.0,58.02,234.3,24.02
19,100.0,62.3,213.43,24.99
20,105.0,62.86,164.09,24.69
21,110.0,62.63,26.55,29.21
22,115.0,58.14,12.8,28.71
23,120.0,15.51,-139.06,18.53
24,125.0,10.11,-158.25,7.67
